artists,spotify_id,monthly_listeners
Gerald Albright,3bhckpkRmz8mqONUceSutp,161300
Thomas Daniel,6szSMqKKwkFqJoK3MxK3Hk,187700
Masayoshi Yamazaki,6gvedX0HcRQYMD5IhY8KKt,542100
Todd Carey,0LCLu0eCcX5xembxDadUbz,61300
Ariza,4hfAjEKTAFTmJvGQCGTED5,203300
Chuck Leavell,3Dj8QpO2yUyElSCfiatKI9,9800
YUZU,38f5pUehPkMW3H5u7cGtE4,13
Jonah Baker,6cpVjPOo5Ozn28hUfYBXqm,827400
Billkin,2a727ekkPaUHk0bMifk7fj,1700000
Anna Nalick,4LoM3lMauQ540MW9QiyIcR,756800
Us The Duo,3QGKsAfhZdldQCLuLjk6zl,606700
Tenille Townes,3TyeX0lk4B7k56ukfzEE0z,564900
Megan Davies,09kCHZp9iFO2FJNb9lR6G5,356400
Megan Nicole,3OiVNeHkjQfnikmcBXbplT,140100
Amos Lee,0QrowybipCKUDnq5y10PD2,1500000
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,20300000
Days N Daze,3wRGr9z5I5xmmVc21fIvC6,129500
Mindy Gledhill,24gJ2GCq5zx1Mh08ZpmiSo,81200
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,203300
Get Dead,3V70UC5ftw2Rt78ctlaQdz,62200
Albert King,5aygfDCEaX5KTZOxSCpT9o,673500
Aoi Teshima,4FrFdi2hHpulQOxDihRIQD,763200
Emma Heesters,3898xesz6JuQkpz7Kiu4uM,1200000
Jae Hall,1rxN6Kd4PGaLmhhW8ktW3d,274700
A Fine Frenzy,5dTYaRzOn4rXGBLH052EeQ,237000
Roses & Frey,2FyfsZmatt8gWR3LKnQIwE,232400
Aidan Hawken,2v7uKtvs8C3LSxEUXB0rva,52100
The Rescues,28xUSGD80Bh3CuLlg0GVqf,43000
Ivan & Alyosha,3D1IyJznpDnWnnFrzjuWnh,80500
Austin Plaine,6AMV5iw09ZrX1h3o4x7uVN,66400
Plamina,7x6A8huMVnPZ5wAzlw6HSp,513299
Imaginary Future,470WlqN9HSRDGNaMufeHHF,654200
Phillip LaRue,7gIDHAJ0iFOGSMTiqsNUZT,120200
krissy & ericka,09DdQEMQaaq0f99vqqub3V,1400000
Takehara Pistol,0IRFQcZbbHHpFY5EUNA2XA,114600
Allman Brown,239Y6QdFqVFfdsw6moqSEN,477800
Liz Lawrence,5v4XGACPGcMZs2ANXBzVmC,67500
Eddy Tyler,7KT0K9Jyst149sFJoP4s3D,64900
Joy Williams,4TCXgdDPm10ensLNCVnIYa,993400
Lusaint,35v2YILQxee0yatdWj6Kg7,437600
Sarah Hyland,7icfzHg2AhHxy65PU58rCP,6200
Mother's Daughter,09AgPKJAS5Muco3pU4xh7k,191000
Beck Pete,4eumHUk8mIV3mQWfGWt5GN,0
The Perishers,511NdtFxUgN1HgraPcUotf,77400
Madysyn,6fg51LVMgKxGjpIR9ihl9k,170100
Matt Johnson,5gFCOJYoKgxTx0KUXISEAS,41200
Jaclyn Davies,5MKHjGZGjZ7mZV0JPs9iot,161100
Greg Laswell,2Mf99N2VcDEcVuocyBLhyC,254200
Sara Phillips,0IYTdG3kSqaozW2xSPA6GL,296100
Joe Brooks,6Z8D437D8u4IdirS4Jc58d,64500
Masaharu Fukuyama,5FGlhIQqewJRV8fx24toG0,1100000
James TW,0B3N0ZINFWvizfa8bKiz4v,2100000
Ciaran Lavery,7zOuMHqRJ6YOMnCGpLfuTU,85900
John Frusciante,7rN3Agir6FaZNfhf5V7mfN,550100
Sara Farell,39S7Y72G0tdDPy2INGFicV,472500
AJR,6s22t5Y3prQHyaHWUN1R1C,7600000
Rodrigo y Gabriela,7vX3cMVyW8gtDA4y855ynF,438300
Front Porch Step,4UXiNDHAiv8DOSLkp0GbSm,166400
Eric Hutchinson,39x8gyJjTHiBQklFgVJSV4,490500
Brett Dennen,0FC1LIeQXKib0jOwZqeIwT,496300
Rail Yard Ghosts,53Etexqw6ntkNvjb9avkEQ,21900
The Bridge City Sinners,67koLjNJIwd3at8sM8EAkt,234000
Frank Turner,27M9shmwhIjRo7WntpT9Rp,354300
Matt Costa,0EghvcisxKybq4CVO7rB5t,106400
Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs,1700000
Meiko,2IkmuwBBKvBWsJjzyUsvhp,97900
Erin McCarley,6Y4bCmUNPDKqc7dHkVvgim,82800
Isabella Celander,6sQYT9B066RITdelCECQuE,86200
Amber Leigh Irish,1uuV1avDy9Eup5gYHXVG05,538500
Jess Penner,4jiFEtepbK56gnPNxxeDhs,25700
Daniel Robinson,1tlNtqr5jF7Z8pR9i4RWsa,370700
Yosui Inoue,4BQT8wAPy5SGtRnfstMzbA,712400
Tamio Okuda,3ZWE1TnryM03rfzVin17K0,445600
Celine,5ZheOSzgxKh55R5LlDApTq,44700
Blame Jones,4FCvYJ06Q8c4AScPG501KY,194400
Matt White,5nrKbDQoztn1qIZAwXvGUq,111500
Madi Diaz,7E1o9IcnpiFQDlAUk2H7Az,194100
Tristan Prettyman,49RRjdOtssOA73G9NnVeUM,80700
Mark Oblea,3Selnc0BwhaX4HX9781VgP,4700
Hanare Gumi,2nyUb9foGvK7AlESn5DCte,107500
Benedict Cumberbatch,46S69U7PXsn0Byc7nJhJOd,4400
RENT STRIKE,1IfEVZHYxDJMQJKd4IH9Hd,18200
Mischief Brew,73U1Zb71I5JwgC1qVqZ8NO,74500
